Date,BTC-USD,GLD,NVDA,SPY,TLT,TSLA,XLE,SPY_mu,SPY_var,TLT_mu,TLT_var,GLD_mu,GLD_var,BTC-USD_mu,BTC-USD_var,NVDA_mu,NVDA_var,TSLA_mu,TSLA_var,XLE_mu,XLE_var,SPY_vqe,TLT_vqe,GLD_vqe,BTC-USD_vqe,NVDA_vqe,TSLA_vqe,XLE_vqe
2021-04-23,-0.013001302685204313,-0.0038387727937765547,0.027562428361248385,0.010784031088655367,-0.002353506424180933,0.01340170287553078,0.009085951545326027,0.00022014588931020928,0.0001,-0.000667371233551901,0.0001,-0.00022437900272277535,0.0001,0.006133113524811913,0.0001,-0.00018692299193342555,0.0001,0.0026343152008409744,0.0001,0.0012317211971834164,0.0001,0,0,0,2,1,3,3
2021-04-24,-0.020620437180110716,0.0,0.0,0.0,0.0,0.0,0.0,0.00022014588931020928,0.0001,-0.000667371233551901,0.0001,-0.00022437900272277535,0.0001,0.006133113524811913,0.0001,-0.00018692299193342555,0.0001,0.0026343152008409744,0.0001,0.0012317211971834164,0.0001,0,0,0,2,2,3,1
2021-04-25,-0.02113272327896639,0.0,0.0,0.0,0.0,0.0,0.0,0.00022014588931020928,0.0001,-0.000667371233551901,0.0001,-0.00022437900272277535,0.0001,0.006133113524811913,0.0001,-0.00018692299193342555,0.0001,0.0026343152008409744,0.0001,0.0012317211971834164,0.0001,0,0,0,2,3,3,3
2021-04-26,0.09747970680195452,0.002640755671589698,0.013840613425225036,0.0020853674847979386,-0.001428286248110201,0.011992516455123612,0.006708528000467057,0.00022014588931020928,0.0001,-0.000667371233551901,0.0001,-0.00022437900272277535,0.0001,0.006133113524811913,0.0001,-0.00018692299193342555,0.0001,0.0026343152008409744,0.0001,0.0012317211971834164,0.0001,0,0,0,3,0,3,3
2021-04-27,0.01854831914865377,-0.0025205449092440876,-0.006237999254903365,-0.00021558008713506603,-0.008761722333804468,-0.046385859854230695,0.012045849231028869,0.0007793428526054028,0.0001,-0.0005732954821785131,0.0001,-0.0004602462137539793,0.0001,0.0066091153346885005,0.0001,-0.000758044349405404,0.0001,0.0024090116200809726,0.0001,0.0011780598533238616,0.0001,3,0,0,3,0,3,3
2021-04-28,-0.0037942553737364284,0.002940064461277065,-0.006849822438319292,-0.00028748633551923175,0.0006492153821005765,-0.014780794025162398,0.03389497298489165,0.0007793428526054028,0.0001,-0.0005732954821785131,0.0001,-0.0004602462137539793,0.0001,0.0066091153346885005,0.0001,-0.000758044349405404,0.0001,0.0024090116200809726,0.0001,0.0011780598533238616,0.0001,3,0,0,2,0,3,3
2021-04-29,-0.023429673825133245,-0.004142547462168167,0.003137222139994856,0.006352669578051145,-0.0029597768024014555,-0.02537683713134589,0.01111341094003958,0.0007793428526054028,0.0001,-0.0005732954821785131,0.0001,-0.0004602462137539793,0.0001,0.0066091153346885005,0.0001,-0.000758044349405404,0.0001,0.0024090116200809726,0.0001,0.0011780598533238616,0.0001,3,0,0,3,3,3,3
2021-04-30,0.07541518772096198,-0.003374702192485256,-0.020785802508514497,-0.006592161124318437,0.0023105614203008233,0.04680461290993818,-0.025586145563343474,0.0007793428526054028,0.0001,-0.0005732954821785131,0.0001,-0.0004602462137539793,0.0001,0.0066091153346885005,0.0001,-0.000758044349405404,0.0001,0.0024090116200809726,0.0001,0.0011780598533238616,0.0001,3,0,0,3,3,3,3
2021-05-01,0.0013475723603123622,0.0,0.0,0.0,0.0,0.0,0.0,0.0007793428526054028,0.0001,-0.0005732954821785131,0.0001,-0.0004602462137539793,0.0001,0.0066091153346885005,0.0001,-0.000758044349405404,0.0001,0.0024090116200809726,0.0001,0.0011780598533238616,0.0001,3,0,0,3,1,3,3
2021-05-02,-0.020916047590224387,0.0,0.0,0.0,0.0,0.0,0.0,0.0009376555948096679,0.0001,-0.0006955481863857928,0.0001,-0.0003670882807212487,0.0001,0.006327318204164179,0.0001,0.000756241137066975,0.0001,0.0022642221626813395,0.0001,0.0013852952190803566,0.0001,3,0,0,3,2,3,3
